Continent,LCZ,LCZ_Description,High_N,Low_N,High_Mean,Low_Mean,T_stat,P_value
North America,LCZ_2,Compact midrise,3,123,0.003372958026737333,0.003663851099534646,-0.09037412215133128,0.9346020568923471
North America,LCZ_3,Compact lowrise,4,180,0.07803422662261304,0.047874704038438486,1.234864821562614,0.29759757594036523
North America,LCZ_4,Open highrise,3,154,0.0006585802302135667,0.003121752956920442,-4.475000705007281,1.8955316509612414e-05
North America,LCZ_5,Open midrise,3,173,0.010382334098372999,0.023912357687808247,-1.3524028167565458,0.2883528943562262
North America,LCZ_6,Open lowrise,4,181,0.3416279052384441,0.36771704287759277,-0.4090115420160964,0.7090389127004557
North America,LCZ_8,Large lowrise,4,180,0.09670220143579113,0.12734061921481712,-0.9319291316823058,0.41727039190241483
North America,LCZ_9,Sparsely built,4,180,0.13990884557281918,0.08524244696723997,1.0327214663278428,0.37661785131997366
North America,LCZ_10,Heavy industry,3,138,0.0007475930987067703,0.0022739224761946036,-1.5347978466098868,0.16144162981505697
North America,LCZ_11,Dense trees,4,176,0.1129306643534532,0.11129960884534826,0.04375154183131901,0.9675770004384096
North America,LCZ_12,Scattered trees,4,179,0.13245219728491764,0.07974644071250162,1.3953186496383372,0.25557092435439316
North America,LCZ_13,"Bush, scrub",2,97,0.0003173570753352,0.023933241283895356,-5.241946687468071,9.424921593395495e-07
North America,LCZ_14,Low plants,4,180,0.08054916517155905,0.10257509751616199,-1.1042960523238579,0.33167931692399893
North America,LCZ_15,Bare rock or paved,2,168,0.0025727009576147,0.004195948658004427,-0.6244195023220268,0.6271703209699011
North America,LCZ_16,Bare soil or sand,3,175,0.0037592915850484664,0.03172949780973549,-4.431937103695053,6.709159718506777e-05
North America,LCZ_17,Water,3,163,0.0028789300328237,0.007220985053794475,-2.526364861221017,0.04750012936038117
Africa,LCZ_2,Compact midrise,7,67,0.0035926101162925017,0.008425086891361011,-1.6813664964276285,0.10807685202340639
Africa,LCZ_3,Compact lowrise,26,140,0.14077805558150283,0.11823337196374786,1.0934447136270178,0.28192787228398186
Africa,LCZ_5,Open midrise,3,88,9.39451496551165e-05,0.0029662519441190885,-4.87875945389196,4.696788796001302e-06
Africa,LCZ_6,Open lowrise,26,142,0.2661824010547426,0.2801322231880595,-0.4846918005077902,0.6306937014810556
Africa,LCZ_7,Lightweight lowrise,13,63,0.009515232069884003,0.005214153624203152,0.6233393559362927,0.5424355142281734
Africa,LCZ_8,Large lowrise,25,125,0.04970896544589659,0.09281191894464245,-1.8835824997848525,0.06814183973548754
Africa,LCZ_9,Sparsely built,26,142,0.0952094711913126,0.15554572877091905,-3.8821138616787936,0.0002972778555309022
Africa,LCZ_10,Heavy industry,3,61,0.0013942759303671004,0.002669925968405147,-1.467271177147297,0.18913942826267655
Africa,LCZ_11,Dense trees,11,120,0.018474334062943683,0.0691459636923392,-2.926080212896429,0.007439205115703081
Africa,LCZ_12,Scattered trees,17,135,0.01763178007484749,0.05205929833254498,-3.517354077341504,0.001196721187792544
Africa,LCZ_13,"Bush, scrub",24,129,0.07793383096592606,0.030707576600850457,2.0452940479063915,0.051313336677532025
Africa,LCZ_14,Low plants,26,138,0.12898495209727018,0.16829018200896306,-1.3250449880061332,0.1929333142639788
Africa,LCZ_15,Bare rock or paved,24,121,0.00895199298457757,0.008903526635981082,0.010441806276454633,0.9917106118141154
Africa,LCZ_16,Bare soil or sand,25,119,0.2179297517507241,0.053154332502978165,3.5766288105478665,0.0013785537908586102
Africa,LCZ_17,Water,20,103,0.007873826514972784,0.006527698003230979,0.4138244914722277,0.6808049574988904
Asia,LCZ_1,Compact highrise,23,303,0.001008840918410855,0.004306748727170673,-5.051890597215474,1.0367246417337614e-06
Asia,LCZ_2,Compact midrise,99,574,0.010381444794999053,0.023332899218981202,-5.764482788880116,2.8476965371050055e-08
Asia,LCZ_3,Compact lowrise,166,631,0.09380925461387819,0.07116759835332463,3.446586196148931,0.0006686687668284835
Asia,LCZ_4,Open highrise,96,544,0.00516022480104197,0.028425756163119688,-13.456839022521311,2.720570793228447e-35
Asia,LCZ_5,Open midrise,128,618,0.005552072858429735,0.03852371997149964,-18.412925669984368,3.3730979854309427e-62
Asia,LCZ_6,Open lowrise,166,631,0.27771586244926405,0.21418308713438006,5.170970297625522,5.20360825046725e-07
Asia,LCZ_7,Lightweight lowrise,16,227,0.00017860736337390096,0.0033825545199714013,-5.5114635011933215,9.468471616047388e-08
Asia,LCZ_8,Large lowrise,165,631,0.12539791064400116,0.17632714423696016,-4.424120079119552,1.5366445847243596e-05
Asia,LCZ_9,Sparsely built,166,631,0.13708049795576654,0.11719792643355903,2.3995540211469284,0.017140928505678468
Asia,LCZ_10,Heavy industry,83,474,0.007634694516338053,0.007212192637069939,0.23281662463950262,0.8162746306386816
Asia,LCZ_11,Dense trees,125,573,0.10146816969796174,0.07346425265081065,2.064196989206789,0.040625488118069715
Asia,LCZ_12,Scattered trees,146,601,0.018679755127612097,0.020200994339481734,-0.643011312589862,0.5208541843470925
Asia,LCZ_13,"Bush, scrub",102,253,0.00550453216056629,0.008282676312686608,-1.6320271498033294,0.1036441278694568
Asia,LCZ_14,Low plants,165,626,0.14548694616488914,0.17753192229686363,-2.503265339739423,0.012949566275550162
Asia,LCZ_15,Bare rock or paved,113,496,0.01005544355430817,0.01124844488451971,-0.334709016115126,0.7381064679900659
Asia,LCZ_16,Bare soil or sand,151,591,0.09942510574783457,0.04449238002330667,4.3531699776489505,2.1751482338380617e-05
Asia,LCZ_17,Water,155,566,0.012001497143887312,0.014546182471057356,-1.2056010131396486,0.22916500020089642
South America,LCZ_2,Compact midrise,11,74,0.006414861778877709,0.01613636668263343,-2.6434556706738555,0.012759935631299362
South America,LCZ_3,Compact lowrise,21,84,0.1453161154374739,0.14862652027862128,-0.18665713190436678,0.8532411509939635
South America,LCZ_4,Open highrise,11,69,0.0006034864416569118,0.002676161628241614,-3.95499568684196,0.00016830982442873153
South America,LCZ_5,Open midrise,17,81,0.004840920371375316,0.016443178019258306,-3.54024022905859,0.000769117956687305
South America,LCZ_6,Open lowrise,21,85,0.24841389321181376,0.2276447396154581,1.0698159052630554,0.28938385238609243
South America,LCZ_8,Large lowrise,21,84,0.10785340156090903,0.11292360521158466,-0.26925765755139247,0.7891536823747062
South America,LCZ_9,Sparsely built,21,83,0.14295283593092117,0.10161812204021616,2.4358705445709368,0.020378807432816913
South America,LCZ_10,Heavy industry,12,48,0.0026571530527330148,0.0021766893736542077,0.27564027712389916,0.7868592436587332
South America,LCZ_11,Dense trees,20,80,0.06194121913417777,0.14296338874919162,-3.449642231495588,0.0008680647007786339
South America,LCZ_12,Scattered trees,21,83,0.09542076782617905,0.08206468268041403,0.8571853909984275,0.39803468682896137
South America,LCZ_13,"Bush, scrub",17,44,0.01228039336300179,0.01362724365370415,-0.20584665747143874,0.8381679005334169
South America,LCZ_14,Low plants,21,80,0.14346614440987002,0.1098948643014173,1.361592359814458,0.18225664969013572
South America,LCZ_15,Bare rock or paved,18,75,0.0011868829989286284,0.018905911318476416,-3.136648769738123,0.002436455691445444
South America,LCZ_16,Bare soil or sand,20,73,0.022846927894375,0.035851480897767775,-0.8852769875291312,0.38039686489482794
South America,LCZ_17,Water,21,68,0.015754135189744042,0.010050359215817739,0.7462349778669565,0.46105565874958687
